"2022-02-17 at 13:06"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
13:06:12 0.74 51.73 102.32
13:06:13 1.03 51.76 102.32
13:06:14 0.74 51.76 102.32
13:06:15 0.60 51.76 102.32
13:06:16 0.17 51.76 102.32
13:06:17 0.46 51.76 102.32
13:06:18 0.88 51.76 102.32
13:06:19 0.61 51.76 102.32
13:06:20 0.69 51.76 102.32
13:06:21 0.65 51.76 102.32
13:06:22 0.94 51.76 102.32
13:06:23 0.29 51.76 102.32
13:06:24 0.85 51.76 102.32
13:06:25 0.67 51.76 102.32
13:06:26 0.72 51.76 102.32
13:06:27 0.64 51.76 102.32
13:06:28 1.06 51.76 102.32
13:06:29 0.73 51.76 102.32
13:06:30 0.63 51.76 102.32
13:06:31 0.71 51.76 102.32
13:06:32 0.26 51.76 102.32
13:06:33 0.78 51.76 102.32
13:06:34 0.69 51.76 102.32
13:06:35 0.61 51.76 102.32
13:06:36 0.74 51.76 102.32
13:06:37 0.69 51.76 102.32
13:06:38 0.77 51.76 102.32
13:06:39 0.70 51.76 102.32
13:06:40 0.76 51.76 102.32
13:06:41 0.53 51.76 102.32
13:06:42 0.80 51.76 102.32
13:06:43 0.60 51.76 102.32
13:06:44 0.50 51.76 102.32
13:06:45 0.83 51.76 102.32
13:06:46 0.49 51.76 102.32
13:06:47 0.81 51.76 102.29
13:06:48 0.62 51.76 102.32
13:06:49 0.87 51.76 102.32
13:06:50 0.36 51.76 102.32
13:06:51 0.64 51.76 102.32
13:06:52 0.42 51.76 102.32
13:06:53 1.04 51.73 102.32
13:06:54 0.32 51.73 102.32
13:06:55 0.79 51.76 102.32
13:06:56 0.59 51.76 102.32
13:06:57 0.80 51.76 102.32
13:06:58 0.33 51.76 102.32
13:06:59 0.90 51.76 102.32
13:07:00 0.72 51.76 102.32
13:07:01 0.18 51.76 102.29
13:07:02 1.14 51.76 102.32
13:07:03 0.96 51.76 102.32
13:07:04 0.49 51.76 102.32
13:07:05 0.63 51.76 102.32
13:07:06 0.72 51.76 102.32
