"2022-03-08 at 12:27"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
12:27:28 0.58 51.73 101.88
12:27:29 1.07 51.73 101.88
12:27:30 0.32 51.73 101.88
12:27:31 0.62 51.73 101.88
12:27:32 1.11 51.73 101.88
12:27:33 0.82 51.73 101.88
12:27:34 0.58 51.73 101.88
12:27:35 0.36 51.73 101.88
12:27:36 1.07 51.73 101.88
12:27:37 0.79 51.73 101.88
12:27:38 0.62 51.73 101.88
12:27:39 0.40 51.73 101.88
12:27:40 0.79 51.73 101.88
12:27:41 0.78 51.73 101.88
12:27:42 0.37 51.73 101.88
12:27:43 0.92 51.73 101.88
12:27:44 0.93 51.73 101.88
12:27:45 0.65 51.73 101.88
12:27:46 0.79 51.73 101.88
12:27:47 0.28 51.73 101.88
12:27:48 1.26 51.73 101.88
12:27:49 0.57 51.73 101.88
12:27:50 0.51 51.73 101.88
12:27:51 0.73 51.73 101.88
12:27:52 0.71 51.73 101.88
12:27:53 0.53 51.73 101.88
12:27:54 0.61 51.73 101.88
12:27:55 0.98 51.73 101.88
12:27:56 0.60 51.73 101.88
12:27:57 0.58 51.73 101.88
12:27:58 0.74 51.73 101.88
12:28:00 0.61 51.73 101.88
12:28:01 0.82 51.73 101.88
12:28:02 1.07 51.73 101.88
12:28:03 0.38 51.73 101.88
12:28:04 0.87 51.73 101.88
12:28:05 0.65 51.73 101.88
12:28:06 0.77 51.73 101.88
12:28:07 0.60 51.73 101.88
12:28:08 0.69 51.73 101.88
12:28:09 0.53 51.73 101.88
12:28:10 0.85 51.73 101.88
12:28:11 0.90 51.73 101.88
12:28:12 0.77 51.73 101.88
12:28:13 0.80 51.73 101.88
12:28:14 0.71 51.73 101.88
12:28:15 0.73 51.73 101.88
12:28:16 0.82 51.73 101.88
12:28:17 1.28 51.73 101.88
12:28:18 0.33 51.73 101.88
12:28:19 0.81 51.73 101.88
12:28:20 0.33 51.73 101.88
12:28:21 0.45 51.73 101.88
12:28:22 0.83 51.73 101.88
12:28:23 0.73 51.73 101.88
12:28:24 0.60 51.73 101.88
12:28:25 0.74 51.73 101.88
12:28:26 1.12 51.73 101.88
12:28:27 0.44 51.73 101.88
12:28:28 0.96 51.73 101.88
12:28:29 0.96 51.73 101.88
12:28:30 0.54 51.73 101.88
12:28:31 0.72 51.73 101.88
12:28:32 0.90 51.73 101.88
12:28:33 1.04 51.73 101.88
12:28:34 0.44 51.73 101.88
12:28:35 0.63 51.73 101.88
