"2022-02-22 at 16:36"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
16:36:11 1.19 51.76 101.17
16:36:12 1.03 51.76 101.17
16:36:13 1.37 51.76 101.17
16:36:14 1.16 51.76 101.17
16:36:15 1.29 51.76 101.17
16:36:16 1.46 51.73 101.17
16:36:17 0.88 51.73 101.17
16:36:18 1.43 51.76 101.17
16:36:19 1.12 51.76 101.17
16:36:20 1.30 51.76 101.17
16:36:21 0.96 51.76 101.17
16:36:22 0.82 51.73 101.17
16:36:23 1.14 51.73 101.17
16:36:24 0.92 51.76 101.17
16:36:25 1.21 51.76 101.17
16:36:26 1.35 51.76 101.17
16:36:27 0.95 51.76 101.17
16:36:28 0.92 51.76 101.17
16:36:29 1.16 51.76 101.17
16:36:30 1.33 51.76 101.17
16:36:31 1.19 51.76 101.17
16:36:32 1.03 51.76 101.17
16:36:33 1.19 51.76 101.17
16:36:34 1.14 51.73 101.17
16:36:35 0.98 51.73 101.17
16:36:36 1.21 51.76 101.17
16:36:37 1.22 51.73 101.17
16:36:38 1.19 51.73 101.17
16:36:39 0.88 51.76 101.17
16:36:40 0.99 51.76 101.17
16:36:41 1.36 51.76 101.15
16:36:42 0.87 51.76 101.17
16:36:43 0.85 51.76 101.17
16:36:44 1.29 51.76 101.17
16:36:45 1.13 51.76 101.17
16:36:46 1.45 51.76 101.15
16:36:47 1.43 51.76 101.17
16:36:48 1.20 51.76 101.17
16:36:49 0.96 51.73 101.17
16:36:50 1.07 51.73 101.17
16:36:51 0.98 51.76 101.17
16:36:52 1.03 51.76 101.17
16:36:53 1.22 51.73 101.15
16:36:54 0.98 51.73 101.17
16:36:55 1.41 51.76 101.17
16:36:56 1.59 51.76 101.17
16:36:57 0.76 51.76 101.17
16:36:58 1.48 51.76 101.17
16:36:59 0.73 51.73 101.17
16:37:00 1.68 51.73 101.17
16:37:01 1.21 51.76 101.17
16:37:02 1.06 51.76 101.17
16:37:03 0.77 51.73 101.17
16:37:04 1.26 51.73 101.17
16:37:05 1.14 51.73 101.15
16:37:06 0.76 51.73 101.17
16:37:07 1.06 51.76 101.17
16:37:08 1.22 51.76 101.15
16:37:09 1.35 51.76 101.17
16:37:10 1.03 51.76 101.17
16:37:11 1.44 51.76 101.17
16:37:12 0.91 51.76 101.17
16:37:13 1.08 51.76 101.17
16:37:14 1.12 51.76 101.15
16:37:15 0.96 51.76 101.17
16:37:16 1.03 51.76 101.15
16:37:17 1.18 51.76 101.17
16:37:19 1.11 51.76 101.17
16:37:20 1.13 51.76 101.17
16:37:21 1.00 51.76 101.17
16:37:22 1.13 51.76 101.17
16:37:23 0.83 51.76 101.17
16:37:24 1.51 51.76 101.16
16:37:25 0.66 51.73 101.17
16:37:26 1.16 51.73 101.17
16:37:27 1.28 51.76 101.17
16:37:28 1.00 51.73 101.17
16:37:29 0.76 51.73 101.15
16:37:30 1.32 51.76 101.17
16:37:31 1.32 51.76 101.17
16:37:32 1.02 51.76 101.17
16:37:33 1.25 51.76 101.17
16:37:34 2.70 51.73 101.17
16:37:35 8.26 51.73 101.17
16:37:36 16.03 51.76 101.17
16:37:37 22.72 51.76 101.15
16:37:38 27.68 51.76 101.17
16:37:39 31.36 51.73 101.17
16:37:40 33.38 51.73 101.17
16:37:41 33.61 51.76 101.17
16:37:42 31.53 51.76 101.17
16:37:43 27.84 51.76 101.17
16:37:44 22.95 51.76 101.17
16:37:45 18.77 51.76 101.17
16:37:46 15.02 51.76 101.15
16:37:47 12.26 51.76 101.17
16:37:48 10.50 51.76 101.17
16:37:49 8.64 51.76 101.17
16:37:50 7.98 51.73 101.17
16:37:51 6.61 51.73 101.17
16:37:52 5.79 51.76 101.17
