"2022-03-16 at 09:16"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
09:16:20 -0.40 51.73 101.68
09:16:21 -0.07 51.73 101.68
09:16:22 0.12 51.73 101.68
09:16:23 0.09 51.73 101.66
09:16:24 0.00 51.73 101.68
09:16:25 0.00 51.73 101.66
09:16:26 -0.10 51.73 101.68
09:16:27 0.25 51.73 101.68
09:16:28 -0.10 51.73 101.68
09:16:29 0.09 51.73 101.68
09:16:30 0.66 51.73 101.68
09:16:31 0.19 51.73 101.68
09:16:32 0.28 51.73 101.68
09:16:33 0.09 51.73 101.66
09:16:34 0.36 51.73 101.66
09:16:35 0.32 51.73 101.68
09:16:36 0.66 51.73 101.68
09:16:37 0.53 51.73 101.68
09:16:38 0.85 51.73 101.68
09:16:39 0.48 51.73 101.66
09:16:40 0.13 51.73 101.68
09:16:41 0.87 51.73 101.66
09:16:42 0.60 51.73 101.68
09:16:43 0.56 51.73 101.68
09:16:44 0.73 51.73 101.66
09:16:45 0.76 51.73 101.66
09:16:46 0.59 51.73 101.68
09:16:47 0.75 51.73 101.68
09:16:48 0.45 51.73 101.68
09:16:49 0.38 51.73 101.68
09:16:50 0.69 51.73 101.68
09:16:51 0.56 51.73 101.68
09:16:52 0.79 51.73 101.68
09:16:53 0.65 51.73 101.68
09:16:54 0.89 51.73 101.68
09:16:55 0.78 51.73 101.68
09:16:56 0.77 51.73 101.68
09:16:57 0.63 51.73 101.68
09:16:58 1.03 51.73 101.68
09:16:59 0.74 51.73 101.68
09:17:00 0.69 51.73 101.68
09:17:01 0.67 51.73 101.68
09:17:02 0.75 51.73 101.68
09:17:03 0.86 51.73 101.66
09:17:04 0.93 51.73 101.68
09:17:05 0.91 51.73 101.68
09:17:06 1.07 51.76 101.68
09:17:07 0.73 51.76 101.66
09:17:08 0.58 51.73 101.68
09:17:09 0.68 51.73 101.68
09:17:10 0.97 51.73 101.68
09:17:11 0.90 51.76 101.70
09:17:12 0.81 51.76 101.67
09:17:13 0.84 51.76 101.68
09:17:14 0.38 51.73 101.68
09:17:15 0.90 51.73 101.68
09:17:16 0.92 51.73 101.68
09:17:17 0.75 51.73 101.68
09:17:19 0.45 51.73 101.68
09:17:20 0.89 51.76 101.68
09:17:21 0.95 51.76 101.68
09:17:22 1.18 51.76 101.68
09:17:23 0.32 51.76 101.68
09:17:24 1.10 51.73 101.68
09:17:25 0.55 51.73 101.68
09:17:26 1.40 51.76 101.68
09:17:27 1.80 51.76 101.68
09:17:28 4.76 51.76 101.68
09:17:29 8.43 51.76 101.68
09:17:30 12.86 51.76 101.68
09:17:31 17.13 51.76 101.66
09:17:32 21.09 51.76 101.68
09:17:33 24.05 51.76 101.68
09:17:34 27.72 51.73 101.68
09:17:35 29.70 51.73 101.68
