"2022-02-10 at 15:23"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
15:23:49 -0.07 51.76 101.56
15:23:50 0.12 51.78 101.56
15:23:51 0.45 51.76 101.54
15:23:52 -0.03 51.76 101.54
15:23:53 0.10 51.76 101.54
15:23:54 -0.07 51.76 101.54
15:23:55 0.07 51.76 101.54
15:23:56 0.27 51.76 101.54
15:23:57 0.36 51.76 101.56
15:23:58 -0.01 51.76 101.56
15:23:59 0.22 51.76 101.56
15:24:00 0.19 51.76 101.54
15:24:01 0.15 51.76 101.56
15:24:02 0.18 51.76 101.54
15:24:03 -0.18 51.76 101.54
15:24:04 0.21 51.78 101.54
15:24:05 0.33 51.76 101.54
15:24:06 0.04 51.76 101.56
15:24:07 0.42 51.76 101.54
15:24:08 0.23 51.76 101.54
15:24:09 0.25 51.76 101.54
15:24:10 -0.22 51.76 101.54
15:24:11 0.30 51.76 101.56
15:24:12 0.18 51.76 101.56
15:24:13 0.31 51.76 101.54
15:24:14 0.11 51.76 101.54
15:24:15 -0.26 51.76 101.54
15:24:16 -0.19 51.78 101.56
15:24:17 0.39 51.76 101.54
15:24:18 0.06 51.76 101.56
15:24:19 0.15 51.76 101.56
15:24:20 0.28 51.76 101.54
15:24:21 -0.29 51.76 101.54
15:24:22 0.13 51.76 101.54
15:24:23 0.03 51.76 101.54
15:24:24 -0.07 51.76 101.54
15:24:25 -0.00 51.76 101.54
15:24:26 0.24 51.76 101.54
15:24:27 -0.04 51.76 101.56
15:24:28 0.54 51.76 101.56
15:24:29 0.15 51.76 101.54
15:24:30 -0.01 51.76 101.54
15:24:31 0.28 51.76 101.54
15:24:32 0.54 51.76 101.54
15:24:33 -0.30 51.76 101.56
15:24:34 0.20 51.76 101.56
15:24:35 0.03 51.76 101.54
15:24:36 0.19 51.76 101.56
15:24:37 0.23 51.76 101.56
15:24:38 0.08 51.76 101.54
15:24:39 0.23 51.76 101.54
15:24:41 0.14 51.76 101.54
15:24:42 0.18 51.76 101.54
15:24:43 -0.02 51.76 101.54
15:24:44 -0.31 51.76 101.54
15:24:45 0.44 51.76 101.56
15:24:46 0.40 51.76 101.54
15:24:47 -0.06 51.76 101.56
15:24:48 -0.32 51.76 101.54
15:24:49 0.01 51.76 101.54
15:24:50 0.35 51.76 101.54
15:24:51 0.21 51.76 101.54
15:24:52 0.13 51.76 101.54
15:24:53 -0.26 51.76 101.54
15:24:54 0.07 51.76 101.56
15:24:55 -0.44 51.76 101.54
15:24:56 0.37 51.76 101.54
15:24:57 -0.13 51.78 101.56
15:24:58 0.22 51.76 101.54
15:24:59 0.41 51.76 101.54
15:25:00 -0.24 51.76 101.56
15:25:01 0.46 51.76 101.54
15:25:02 -0.09 51.76 101.54
15:25:03 0.29 51.76 101.56
15:25:04 -0.05 51.76 101.54
15:25:05 -0.10 51.76 101.54
15:25:06 0.08 51.76 101.56
15:25:07 0.30 51.76 101.54
15:25:08 -0.05 51.76 101.54
15:25:09 0.13 51.76 101.54
15:25:10 0.04 51.76 101.54
15:25:11 0.39 51.76 101.56
15:25:12 -0.19 51.76 101.54
15:25:13 0.32 51.76 101.56
15:25:14 0.21 51.76 101.54
15:25:15 0.42 51.76 101.54
15:25:16 0.05 51.76 101.54
15:25:17 -0.07 51.76 101.54
15:25:18 0.39 51.76 101.56
15:25:19 0.10 51.76 101.56
15:25:20 0.28 51.76 101.54
15:25:21 -0.07 51.78 101.56
15:25:22 0.49 51.78 101.56
15:25:23 -0.07 51.76 101.54
15:25:24 0.18 51.76 101.56
15:25:25 -0.23 51.76 101.54
15:25:26 0.14 51.76 101.56
15:25:27 -0.12 51.76 101.54
15:25:28 0.51 51.76 101.54
15:25:29 -0.11 51.76 101.54
15:25:30 0.01 51.76 101.54
15:25:31 0.55 51.76 101.54
15:25:32 0.26 51.76 101.54
15:25:33 0.01 51.76 101.56
15:25:34 0.21 51.76 101.54
15:25:35 -0.09 51.78 101.56
15:25:36 0.35 51.76 101.54
15:25:37 -0.00 51.76 101.54
15:25:38 0.01 51.76 101.54
15:25:39 0.19 51.76 101.54
15:25:40 -0.23 51.76 101.54
15:25:41 0.04 51.76 101.56
15:25:42 0.27 51.76 101.54
15:25:43 0.46 51.76 101.54
15:25:44 0.24 51.76 101.54
15:25:45 -0.23 51.76 101.54
15:25:46 0.17 51.76 101.54
15:25:47 0.13 51.76 101.54
15:25:48 0.00 51.76 101.56
15:25:49 0.40 51.76 101.54
15:25:50 0.54 51.76 101.54
15:25:51 0.03 51.76 101.54
15:25:52 0.07 51.76 101.54
15:25:54 0.13 51.76 101.54
15:25:55 0.19 51.76 101.54
15:25:56 0.13 51.76 101.56
15:25:57 -0.03 51.76 101.56
15:25:58 0.17 51.76 101.56
15:25:59 0.45 51.76 101.54
15:26:00 0.24 51.76 101.54
15:26:01 -0.28 51.76 101.56
15:26:02 0.38 51.76 101.54
15:26:03 0.37 51.76 101.56
15:26:04 -0.25 51.78 101.56
