"2022-02-18 at 15:21"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
15:21:05 14.49 48.59 102.03
15:21:06 14.41 48.64 102.03
15:21:07 14.26 48.68 101.99
15:21:08 14.34 48.73 102.03
15:21:09 14.32 48.78 102.03
15:21:10 14.27 48.83 102.03
15:21:11 13.84 48.88 102.03
15:21:12 13.70 48.93 102.03
15:21:13 13.92 48.97 102.01
15:21:14 13.75 49.02 102.03
15:21:15 13.58 49.07 102.03
15:21:16 13.84 49.12 102.01
15:21:17 13.44 49.17 102.03
15:21:18 13.62 49.19 102.03
15:21:19 14.04 49.24 102.03
15:21:20 13.78 49.29 102.01
15:21:21 13.21 49.37 102.03
15:21:22 13.37 49.39 102.03
15:21:23 13.03 49.44 102.03
15:21:24 13.02 49.49 102.03
15:21:25 13.53 49.54 102.03
15:21:26 12.52 49.59 102.03
15:21:27 12.87 49.64 102.03
15:21:28 12.88 49.69 102.03
15:21:29 12.67 49.74 102.03
15:21:30 12.36 49.76 102.03
15:21:31 13.09 49.81 102.03
15:21:32 12.12 49.87 102.02
15:21:33 12.33 49.92 102.00
15:21:34 12.33 49.97 102.02
15:21:35 12.62 50.02 102.02
15:21:36 12.32 50.04 102.01
15:21:37 12.14 50.09 102.03
15:21:38 12.13 50.14 102.03
15:21:39 11.86 50.19 102.03
15:21:40 11.88 50.19 102.03
15:21:41 12.25 50.27 101.99
15:21:42 12.03 50.30 102.02
15:21:43 11.44 50.35 102.02
15:21:44 11.43 50.40 102.02
15:21:45 11.45 50.45 102.02
15:21:46 11.57 50.50 102.02
15:21:47 11.19 50.55 101.99
15:21:48 11.39 50.60 102.00
15:21:49 11.66 50.65 102.02
15:21:50 11.63 50.68 102.00
15:21:51 11.15 50.71 102.03
15:21:52 10.98 50.76 102.02
15:21:53 10.79 50.81 101.97
15:21:54 10.59 50.86 102.03
15:21:55 10.94 50.91 102.03
15:21:56 10.50 50.97 102.01
15:21:57 10.60 51.02 102.03
15:21:58 10.89 51.07 102.02
15:21:59 10.45 51.07 101.97
15:22:00 10.28 51.12 102.03
15:22:01 10.63 51.18 102.03
15:22:02 10.21 51.23 101.97
15:22:03 10.05 51.28 102.02
15:22:04 10.31 51.33 102.02
15:22:05 10.32 51.36 102.02
15:22:06 10.16 51.39 102.02
15:22:07 9.92 51.41 102.02
15:22:08 9.76 51.44 101.99
15:22:09 9.32 51.47 102.01
15:22:10 9.70 51.52 102.02
15:22:11 9.93 51.55 102.00
15:22:13 9.70 51.57 102.02
15:22:14 9.83 51.62 102.02
15:22:15 8.95 51.65 102.00
15:22:16 9.20 51.68 102.02
15:22:17 8.85 51.68 102.02
15:22:18 9.18 51.70 102.02
15:22:19 9.04 51.73 102.02
15:22:20 8.80 51.79 102.02
15:22:21 8.86 51.81 102.02
15:22:22 8.99 51.84 102.02
15:22:23 8.70 51.84 102.02
15:22:24 8.25 51.87 102.02
15:22:25 6.69 51.87 102.02
15:22:26 6.42 51.87 102.02
15:22:27 7.08 51.89 102.02
15:22:28 7.61 51.89 102.02
15:22:29 7.84 51.89 102.02
15:22:30 8.42 51.89 102.02
15:22:31 8.32 51.89 102.02
15:22:32 8.69 51.92 102.02
15:22:33 8.82 51.92 102.02
15:22:34 9.44 51.92 102.02
15:22:35 10.18 51.92 102.02
15:22:36 10.29 51.92 102.02
15:22:37 10.32 51.92 102.02
15:22:38 10.96 51.95 102.02
15:22:39 10.23 51.95 102.02
15:22:40 10.45 51.95 102.02
15:22:41 10.78 51.95 102.02
15:22:42 10.65 51.95 102.02
15:22:43 10.26 51.95 102.02
15:22:44 10.11 51.95 102.02
15:22:45 9.96 51.95 102.02
15:22:46 9.50 51.95 102.02
15:22:47 9.85 51.92 102.02
15:22:48 9.53 51.92 102.02
15:22:49 9.17 51.92 102.02
15:22:50 8.87 51.92 102.02
15:22:51 8.43 51.92 102.02
15:22:52 8.39 51.92 102.02
15:22:53 8.17 51.92 102.02
15:22:54 8.13 51.92 102.02
15:22:55 7.53 51.92 102.02
15:22:56 7.29 51.92 102.01
15:22:57 7.25 51.89 102.01
15:22:58 6.82 51.89 102.02
15:22:59 6.59 51.89 102.02
15:23:00 6.20 51.89 102.02
15:23:01 5.73 51.89 102.02
15:23:02 6.11 51.89 102.02
15:23:03 5.79 51.89 102.02
15:23:04 5.78 51.89 102.02
15:23:05 4.75 51.87 102.01
15:23:06 5.10 51.87 102.01
15:23:07 4.62 51.87 102.01
15:23:08 4.39 51.87 102.01
15:23:09 4.36 51.84 102.01
15:23:10 3.47 51.84 102.01
15:23:11 4.08 51.84 102.01
15:23:12 3.56 51.84 102.02
15:23:13 3.03 51.84 102.02
15:23:14 2.64 51.84 102.01
15:23:15 2.60 51.84 101.98
15:23:16 2.67 51.84 102.01
15:23:17 2.19 51.84 102.01
15:23:18 2.29 51.78 102.01
15:23:19 2.25 51.78 102.01
15:23:20 1.66 51.78 102.01
15:23:21 1.62 51.78 102.01
15:23:22 1.54 51.78 101.98
15:23:23 1.37 51.78 102.01
15:23:25 1.32 51.78 102.01
15:23:26 1.31 51.78 102.01
15:23:27 0.67 51.78 102.01
15:23:28 0.89 51.78 102.01
15:23:29 0.92 51.78 102.01
15:23:30 0.59 51.78 102.01
15:23:31 0.60 51.78 102.01
15:23:32 0.86 51.78 102.01
15:23:33 0.23 51.76 102.01
15:23:34 0.13 51.76 102.01
15:23:35 0.21 51.76 102.01
15:23:36 -0.25 51.76 101.98
15:23:37 -0.06 51.76 101.98
15:23:38 -0.04 51.76 102.01
15:23:39 0.11 51.76 102.01
15:23:40 -0.62 51.76 101.98
15:23:41 -0.33 51.76 102.01
15:23:42 -0.25 51.76 102.01
15:23:43 -0.31 51.76 102.01
15:23:44 -0.37 51.76 102.01
15:23:45 -0.62 51.76 102.01
15:23:46 -0.83 51.76 102.01
15:23:47 -0.35 51.76 102.01
15:23:48 -0.43 51.76 102.01
15:23:49 -0.68 51.76 102.01
15:23:50 -0.30 51.73 102.01
15:23:51 -0.52 51.73 102.01
15:23:52 -0.95 51.73 102.01
