date,sample,tray_weight,tray_wet_soil,tray_dry_soil,type
2/17/2022,G,0.9954,8.2498,3.9142,field
2/17/2022,V,1.3118,8.2901,5.3542,field
2/17/2022,S,1.302,12.961,7.5577,field
2/17/2022,W,1.069,9.8004,7.4604,field
